Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00195020607297603","0,0015365948940603","0,0967410638415927",0,0,0,"0,995206024305125","0,00209366413502623","-3,44165157573017E-06","-3,76147491081991E-05","0,00104892347800008","4,39264233962694E-07","0,00143772727774919",0,0,0,0,0,0,package://adam/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/base_link.STL,,BARRIGA-1;TRAPEZIO_DIREITO-1;TRAPEZIO_ESQUERDO-1;AX-12-18-A-13;AX-12-18-A-15;AX-12-18-A-14;QUADRIL-2;JETSON_ORION-2;COSTAS-1;TAMPA_TORSO_DIREITA-1;BATERIA LIPO-1;TAMPA_TORSO_ESQUERDA-1,base <QUADRIL-2>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pe_quadril,"-0,0141537789189758","0,0079442590908788","-0,0203546969084569",0,0,0,"0,0601196297918617","1,05752664612248E-05","2,77277222042103E-08","1,90980207221988E-07","1,85434270590147E-05","-1,50339397227627E-09","1,6833524946486E-05",0,0,0,0,0,0,package://adam/meshes/pe_quadril.STL,"0,894117647058823","0,894117647058823","0,894117647058823",1,0,0,0,0,0,0,package://adam/meshes/pe_quadril.STL,,AX-12-18-A-21;COXA-2,Sistema de coordenadas1 <AX-12-18-A-21>,,pe_roll_quadril_10,revolute,"0,023","0,03625","-0,0105","-1,5708",0,"-1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
pe_coxa,"-0,0437544713256375","0,000185181434899077","-0,0201107522449157",0,0,0,"0,0968121752379244","2,17184161505064E-05","2,43915536500787E-07","1,92483601194419E-07","2,15714683155095E-05","1,8947681324991E-07","2,23096889825298E-05",0,0,0,0,0,0,package://adam/meshes/pe_coxa.STL,"0,894117647058823","0,894117647058823","0,894117647058823",1,0,0,0,0,0,0,package://adam/meshes/pe_coxa.STL,,AX-12-18-A-23;JOELHO-2;AX-12-18-A-24,Sistema de coordenadas1 <AX-12-18-A-23>,,pe_pich_quadril_8,revolute,"0,0058","0,047408","-0,021245","-1,5708",0,"-1,5708",pe_quadril,0,0,0,0,0,0,0,,,,,,,,
pe_canela,"-0,0155527691479751","0,0340638025249013","-0,0245106103270809",0,0,0,"0,0215777608725722","1,4598978170005E-05","1,0381647060631E-06","1,02719681520551E-07","3,71078393277981E-06","8,18226195330727E-08","1,66754319910828E-05",0,0,0,0,0,0,package://adam/meshes/pe_canela.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/pe_canela.STL,,CANELA_ESQUERDA_METADE_02-1;CANELA_ESQUERDA_METADE_01-1,Sistema de coordenadas1 <AX-12-18-A-24>,Axis_pe_picht_joelho_6,pe_picht_joelho_6,revolute,"-0,0744","0,0157",0,0,0,"1,5708",pe_coxa,0,0,1,0,0,0,0,,,,,,,,
pe_tornozelo,"-0,0134693253818237","-0,0201773771395345","-0,0206205443123456",0,0,0,"0,0955442292607815","1,49612051029207E-05","2,17234097066861E-07","1,80636636869058E-07","2,43984477219524E-05","2,18629887976326E-10","2,25501418470081E-05",0,0,0,0,0,0,package://adam/meshes/pe_tornozelo.STL,"0,894117647058823","0,894117647058823","0,894117647058823",1,0,0,0,0,0,0,package://adam/meshes/pe_tornozelo.STL,,AX-12-18-A-26;PEITO_DO_PÉ-1;AX-12-18-A-28;CALCANHAR-1,Sistema de coordenadas1 <AX-12-18-A-26>,,pe_picht_tornozelo_4,revolute,"-0,013193","0,075241",0,0,0,"1,5708",pe_canela,0,0,0,0,0,0,0,,,,,,,,
pe_pe,"0,026171545088176","0,00582483538972349","0,0336984569140744",0,0,0,"0,039523089021379","3,80242718390701E-05","-1,02266302474654E-20","1,64143868327474E-06","2,98020253932323E-05","2,4233636345842E-21","1,25379381336875E-05",0,0,0,0,0,0,package://adam/meshes/pe_pe.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/pe_pe.STL,,TORNOZELO-2;PÉ-3,Sistema de coordenadas1 <AX-12-18-A-28>,,pe_roll_tornozelo_2,revolute,"0,0001","-0,0238","-0,0212","-1,5708",0,0,pe_tornozelo,0,0,0,0,0,0,0,,,,,,,,
pd_quadril,"-0,0141537789189726","-0,00790087330665539","-0,0203546969084566",0,0,0,"0,0601196297918616","1,05752664612248E-05","-7,10250058785484E-09","1,90980207222048E-07","1,85434270590146E-05","-1,50339397227757E-09","1,6833524946486E-05",0,0,0,0,0,0,package://adam/meshes/pd_quadril.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/pd_quadril.STL,,COXA-1;AX-12-18-A-20,Sistema de coordenadas1 <AX-12-18-A-20>,,pd_roll_quadril_9,revolute,"0,023","-0,03625","-0,0105","1,5708",0,"1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
pd_coxa,"-0,0437275290812852","-0,000158239190416812","-0,0201107522449149",0,0,0,"0,0968121752379245","2,17184161505041E-05","-2,43915536525012E-07","1,89476813248759E-07","2,15714683155118E-05","-1,92483601194113E-07","2,23096889825298E-05",0,0,0,0,0,0,package://adam/meshes/pd_coxa.STL,"0,894117647058823","0,894117647058823","0,894117647058823",1,0,0,0,0,0,0,package://adam/meshes/pd_coxa.STL,,AX-12-18-A-12;JOELHO-1;AX-12-18-A-22,Sistema de coordenadas1 <AX-12-18-A-22>,,pd_picht_quadril_7,revolute,"0,0058","-0,047408","-0,021245","1,5708",0,"1,5708",pd_quadril,0,0,0,0,0,0,0,,,,,,,,
pd_canela,"-0,0155527691480307","-0,0340638025249009","-0,0245106103270773",0,0,0,"0,0215777608725698","1,45989781700028E-05","-1,03816470606297E-06","1,02719681520544E-07","3,7107839327796E-06","-8,18226195330988E-08","1,66754319910805E-05",0,0,0,0,0,0,package://adam/meshes/pd_canela.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/pd_canela.STL,,CANELA_DIREITA_METADE_01-1;CANELA_DIREITA_METADE_02-1,Sistema de coordenadas1 <AX-12-18-A-12>,Axis_pd_picht_joelho_5,pd_picht_joelho_5,revolute,"-0,0744","-0,0157",0,0,0,"-1,5708",pd_coxa,0,0,1,0,0,0,0,,,,,,,,
pd_tornozelo,"-0,0134718393089086","0,0206532046271628","-0,0205484764347007",0,0,0,"0,0955442292607816","1,49611784981457E-05","-1,89283747297888E-07","2,01323777574969E-07","2,43984743267275E-05","2,18629887978214E-10","2,25501418470081E-05",0,0,0,0,0,0,package://adam/meshes/pd_tornozelo.STL,"0,894117647058823","0,894117647058823","0,894117647058823",1,0,0,0,0,0,0,package://adam/meshes/pd_tornozelo.STL,,AX-12-18-A-27;CALCANHAR-2;AX-12-18-A-25;PEITO_DO_PÉ-2,Sistema de coordenadas1 <AX-12-18-A-25>,,pd_picht_tornozelo_3,revolute,"-0,013193","-0,075241",0,0,0,"-1,5708",pd_canela,0,0,0,0,0,0,0,,,,,,,,
pd_pe,"0,026171545088176","-0,00582483538972349","0,0336984569140743",0,0,0,"0,039523089021379","3,80242718390703E-05","-1,83320846796506E-20","1,64143868327473E-06","2,98020253932324E-05","1,6708963812625E-20","1,25379381336875E-05",0,0,0,0,0,0,package://adam/meshes/pd_pe.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/pd_pe.STL,,PÉ-1;TORNOZELO-1,Sistema de coordenadas1 <AX-12-18-A-27>,,pd_roll_tornozelo_1,revolute,"0,0001","0,0247","-0,021","1,5708",0,0,pd_tornozelo,0,0,0,0,0,0,0,,,,,,,,
be_ombro,"-0,00591470228756696","-0,000974403883866788","0,0105863111205495",0,0,0,"0,0114060167943632","5,40994393258749E-06","-1,34316677964226E-07","7,12790037989189E-07","2,25934107800527E-06","1,37966276921573E-07","5,57806617636153E-06",0,0,0,0,0,0,package://adam/meshes/be_ombro.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/be_ombro.STL,,OMBRO_ESQUERDO-1,Sistema de coordenadas1 <AX-12-18-A-15>,,be_picht_ombro_12,revolute,0,"0,088","0,1758","1,5708","-1,5708",0,base_link,0,0,0,0,0,0,0,,,,,,,,
be_biceps,"-0,036793823856908","-0,000442882193545352","-0,0177975126743866",0,0,0,"0,0942481696340367","2,02881993989639E-05","8,80921683799235E-09","1,8047650681103E-07","2,28390718448768E-05","-1,9248360119428E-07","1,76657308449474E-05",0,0,0,0,0,0,package://adam/meshes/be_biceps.STL,"0,894117647058823","0,894117647058823","0,894117647058823",1,0,0,0,0,0,0,package://adam/meshes/be_biceps.STL,,AX-12-18-A-17;COTOVELO-2;AX-12-18-A-19,Sistema de coordenadas1 <AX-12-18-A-17>,,be_roll_ombro_14,revolute,"-0,018","0,021","0,023","-1,5708",0,0,be_ombro,0,0,0,0,0,0,0,,,,,,,,
be_antibraco,"-0,0171454293155524","0,0590518683884194","-0,0211407829806558",0,0,0,"0,0789439743494325","0,000102732451603257","3,85915021672152E-06","1,9055441753992E-07","1,52990594639976E-05","-6,56302912725517E-07","9,95934733941508E-05",0,0,0,0,0,0,package://adam/meshes/be_antibraco.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/be_antibraco.STL,,BRACO_ESQUERDO-1,Sistema de coordenadas1 <AX-12-18-A-19>,,be_picht_cotovelo_16,revolute,"-0,0599","-0,021","-0,0022","1,5708","-1,5708",0,be_biceps,0,0,0,0,0,0,0,,,,,,,,
bd_ombro,"-0,00594732563508293","0,000749974802561257","0,0105863121858034",0,0,0,"0,011406014540264","5,39528149045346E-06","2,53019657155532E-07","7,174986475701E-07","2,27400259138332E-06","-1,10906311459216E-07","5,57806541951859E-06",0,0,0,0,0,0,package://adam/meshes/bd_ombro.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/bd_ombro.STL,,OMBRO_DIREITO-1,Sistema de coordenadas1 <AX-12-18-A-14>,,bd_picht_ombro_11,revolute,"0,0011633","-0,088","0,17629","1,5708","-1,533",0,base_link,0,0,0,0,0,0,0,,,,,,,,
bd_biceps,"-0,0367661486532937","0,000470557397159774","-0,0180691464227351",0,0,0,"0,0942481696340366","2,02881993989639E-05","8,80921683807009E-09","2,01483907633003E-07","2,28390718448768E-05","1,89476813249758E-07","1,76657308449474E-05",0,0,0,0,0,0,package://adam/meshes/bd_biceps.STL,"0,894117647058823","0,894117647058823","0,894117647058823",1,0,0,0,0,0,0,package://adam/meshes/bd_biceps.STL,,AX-12-18-A-16;COTOVELO-1;AX-12-18-A-18,Sistema de coordenadas1 <AX-12-18-A-16>,,bd_roll_ombro_13,revolute,"-0,017193","-0,021666","0,023","1,5708",0,"0,037834",bd_ombro,0,0,0,0,0,0,0,,,,,,,,
bd_antibraco,"-0,0171277804535932","-0,0590518901995056","-0,0211407837221133",0,0,0,"0,0789440281616455","0,000102732517538214","-3,84562112918514E-06","1,90358865799656E-07","1,5296720979341E-05","6,56305147998297E-07","9,95911961155254E-05",0,0,0,0,0,0,package://adam/meshes/bd_antibraco.STL,1,1,1,1,0,0,0,0,0,0,package://adam/meshes/bd_antibraco.STL,,BRACO_DIREITO-1,Sistema de coordenadas1 <AX-12-18-A-18>,,bd_picht_cotovelo_15,revolute,"-0,0599","0,021","-0,0028","1,5708","-1,5708",0,bd_biceps,0,0,0,0,0,0,0,,,,,,,,
